chunk_id,document_order,document,document_id,document_title,section_order,section,topic,content
KB-02-01,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,1,PURPOSE,purpose,This policy defines minimum controls for making retail data suitable for analysis and forecasting.
KB-02-02,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,2,SOURCE RECONCILIATION,source_reconciliation,Transaction records should be reconciled against approved store and product masters. Unmatched records should be identified and investigated.
KB-02-03,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,3,MISSING PROMOTION FLAGS,missing_promotion_flags,"Missing promotion flags should be handled using a documented rule. Where a reliable promotion calendar exists, it may be used to populate missing values. Otherwise, the transformation should be clearly documented."
KB-02-04,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,4,NEGATIVE QUANTITIES,negative_quantities,Negative quantities should be preserved when they represent returns. They should be reconciled separately from completed sales before modelling.
KB-02-05,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,5,DUPLICATES,duplicates,Potential duplicate records should be identified using the transaction grain and source-system identifiers before aggregation.
KB-02-06,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,6,STORE OPEN/CLOSE PERIODS,store_open_close_periods,Stores that opened or closed mid-period should be identified. Missing sales during inactive periods should not automatically be treated as zero demand.
KB-02-07,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,7,MISSING PRICES,missing_prices,"If the source dataset does not contain actual selling price, the pipeline must not imply that a proxy is the true observed price. Any placeholder or neutral proxy should be documented."
KB-02-08,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,8,PROMOTION PROXIES,promotion_proxies,"If markdown fields are used as a proxy for promotions, the documentation should explicitly identify the proxy and its limitations."
KB-02-09,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,9,AUDITABILITY,auditability,Transformations should be reproducible and documented in the pipeline. Source columns and derived columns should be traceable.
KB-02-10,2,data_quality_policy.txt,RIQ-DQ-001,Data Quality Policy,10,ASSISTANT RULE,assistant_rule,"When a user asks a data-quality question, RetailIQ should describe the documented transformation rather than invent an undocumented cleaning rule."
KB-03-01,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,1,PURPOSE,purpose,These guidelines describe how RetailIQ should interpret forecasts and translate forecast outputs into planning decisions.
KB-03-02,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,2,FORECAST GRAIN,forecast_grain,The primary forecast grain is product-store-week. Forecasts should be evaluated at the same grain used for training and validation.
KB-03-03,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,3,FORECAST INTERPRETATION,forecast_interpretation,"A forecast is an estimate of expected future demand, not a guarantee of actual sales. Forecast users should consider:
- historical patterns;
- seasonality;
- promotions;
- holidays;
- recent changes in demand;
- data quality."
KB-03-04,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,4,PLANNING WITH FORECASTS,planning_with_forecasts,"Forecasts can support:
- replenishment planning;
- inventory cover analysis;
- store allocation;
- promotional preparation;
- capacity planning."
KB-03-05,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,5,LOW-CONFIDENCE RESULTS,low_confidence_results,"When the system has insufficient history or material data quality issues, the assistant should state the limitation rather than imply high certainty."
KB-03-06,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,6,MODEL EVALUATION,model_evaluation,"Forecasting performance should be evaluated using time-aware validation. Recommended metrics include RMSE and MAPE, with an explanation of their commercial meaning."
KB-03-07,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,7,COMMERCIAL INTERPRETATION,commercial_interpretation,RMSE expresses the typical scale of forecast error in the target unit but gives greater weight to larger errors. MAPE expresses relative error for observations with meaningful non-zero demand.
KB-03-08,3,demand_planning_guidelines.txt,RIQ-DMD-001,Demand Planning Guidelines,8,ASSISTANT RULE,assistant_rule,The assistant should distinguish historical observed sales from model-generated forecasts.
